FECHA HECHO,CANTIDAD
14/02/2017,0.05
14/02/2017,0.1
14/02/2017,0.08
15/02/2017,0.15
15/02/2017,0.1
15/02/2017,0.028
15/02/2017,0.04
15/02/2017,0.06
15/02/2017,0.04
15/02/2017,0.06
15/02/2017,0.03
15/02/2017,0.1
15/02/2017,0.085
15/02/2017,0.08
16/02/2017,0.113
16/02/2017,21.0
16/02/2017,0.2
16/02/2017,0.04
16/02/2017,0.473
16/02/2017,0.028
16/02/2017,0.049
16/02/2017,0.25
16/02/2017,0.25
16/02/2017,0.12
16/02/2017,0.04
16/02/2017,0.1
16/02/2017,0.048
17/02/2017,0.035
17/02/2017,0.06
17/02/2017,24.0
17/02/2017,0.105
17/02/2017,0.04
17/02/2017,0.055
17/02/2017,0.05
17/02/2017,0.07
17/02/2017,0.04
17/02/2017,0.362
17/02/2017,0.05
17/02/2017,0.06
17/02/2017,0.085
17/02/2017,0.08
17/02/2017,0.06
17/02/2017,0.75
17/02/2017,0.038
18/02/2017,0.05
18/02/2017,0.12
18/02/2017,0.05
18/02/2017,0.034
18/02/2017,0.056
18/02/2017,0.025
18/02/2017,0.557
18/02/2017,0.066
18/02/2017,0.639
18/02/2017,0.12
18/02/2017,0.03
18/02/2017,0.065
18/02/2017,0.04
18/02/2017,0.15
18/02/2017,0.03
18/02/2017,0.04
18/02/2017,0.13
19/02/2017,0.1
19/02/2017,0.08
19/02/2017,0.08
19/02/2017,0.1
19/02/2017,0.1
19/02/2017,0.05
19/02/2017,0.055
19/02/2017,0.042
19/02/2017,0.05
19/02/2017,0.14
19/02/2017,0.07
19/02/2017,0.08
20/02/2017,0.075
20/02/2017,0.1
20/02/2017,0.043
20/02/2017,0.035
20/02/2017,0.1
20/02/2017,0.096
20/02/2017,0.02
20/02/2017,0.03
20/02/2017,0.2
20/02/2017,0.914
20/02/2017,0.01
20/02/2017,0.7
20/02/2017,0.05
20/02/2017,0.725
21/02/2017,0.12
21/02/2017,0.05
21/02/2017,0.075
21/02/2017,0.08
21/02/2017,0.06
21/02/2017,0.3
21/02/2017,0.12
22/02/2017,1.058
22/02/2017,0.09
22/02/2017,0.09
22/02/2017,0.25
22/02/2017,1.235
22/02/2017,0.08
22/02/2017,0.9
